nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:35:03] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:35:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:35:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:36:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:03] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:37:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:39] CPU: 0.0% | 内存: 41.8% | 磁盘: 31.4%
[06:37:45] CPU: 0.5% | 内存: 42.3% | 磁盘: 31.4%
[06:37:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:37:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:03] CPU: 0.0% | 内存: 41.8% | 磁盘: 31.4%
[06:38:09] CPU: 0.0% | 内存: 41.8% | 磁盘: 31.4%
[06:38:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:38:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:33] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:39:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:39:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
